"course_id","freq"
2,66
3,2
4,93
5,262
6,338
7,493
8,170
9,55
10,34
11,10
12,159
13,7
14,49
15,16
16,111
17,38
18,476
19,15
21,13
22,2
23,167
24,393
25,8
26,10
27,387
28,285
29,29
30,292
31,999
34,609
35,13
36,68
37,288
38,82
39,88
40,10
41,89
42,29
43,33
44,7
45,6
46,282
47,336
49,7
50,462
51,26
52,307
53,14
54,286
55,154
56,118
57,225
58,653
59,489
60,378
61,61
62,242
63,605
64,359
65,383
66,89
67,604
68,168
69,12
70,52
71,116
72,268
73,174
74,6
75,267
76,293
77,207
78,884
79,237
80,85
81,189
82,64
83,57
84,49
85,199
86,31
87,78
88,1593
89,57
90,74
91,324
92,89
93,11
94,145
95,188
96,285
97,92
98,96
99,99
100,140
101,84
102,69
103,25
104,390
105,73
106,696
107,34
108,82
109,26
110,113
111,36
112,264
113,130
114,141
115,330
116,270
117,114
118,196
119,36
120,39
121,52
122,253
123,58
124,185
125,279
126,57
127,24
128,10
129,43
130,63
131,61
132,53
133,64
134,809
135,728
136,44
137,197
140,95
141,39
142,115
143,58
144,84
145,18
146,37
147,21
148,39
149,124
150,112
151,66
152,247
153,63
154,496
155,35
156,36
157,113
158,49
159,12
160,82
161,77
162,250
163,73
164,31
165,165
166,84
167,207
168,155
169,111
170,306
171,39
172,27
173,71
174,405
175,36
176,100
177,76
178,246
179,220
180,45
181,93
182,31
183,15
184,102
185,112
186,62
187,126
188,57
189,29
190,6
191,74
192,47
193,8
194,10
195,14
196,118
197,74
198,136
199,1
200,9
201,34
202,51
203,85
204,110
205,59
206,137
207,40
208,293
209,88
210,41
211,27
212,60
213,118
214,109
215,159
216,101
217,15
218,149
219,94
220,111
221,29
222,80
223,24
224,87
225,154
226,285
227,11
228,34
229,54
230,38
231,53
232,6
233,105
234,112
235,11
236,16
237,40
238,102
239,49
240,44
241,19
242,14
243,1
244,20
245,51
246,14
248,16
249,41
250,15
251,5
252,60
253,6
255,3
256,2
257,5
258,57
259,12
260,42
262,48
263,84
264,1
265,36
266,9
269,8
270,36
271,35
272,2
273,17
274,14
275,10
276,1
NA,3
