"curso","dias","popularidade"
2,126.5,66
3,NA,2
4,5.5,93
5,33.9411764705882,262
6,30.5,338
7,127.25,493
8,18.75,170
9,151,55
10,32.5,34
11,0,10
12,33.2666666666667,159
13,NA,7
14,17,49
15,61.3333333333333,16
16,45.75,111
17,NA,38
18,59.9333333333333,476
19,1.25,15
21,3,13
22,NA,2
23,87.0769230769231,167
24,53.1538461538462,393
25,NA,8
26,NA,10
27,51.12,387
28,34.0952380952381,285
29,18,29
30,49.5,292
31,54.6222222222222,999
34,45.8490566037736,609
35,5,13
36,31.2,68
37,62.6785714285714,288
38,14.9,82
39,140.666666666667,88
40,NA,10
41,96.375,89
42,6,29
43,17.6666666666667,33
44,NA,7
45,NA,6
46,25.2222222222222,282
47,45.7368421052632,336
49,NA,7
50,47.84375,462
51,13,26
52,86.5416666666667,307
53,18,14
54,30.5625,286
55,20.8636363636364,154
56,52.5,118
57,5.33333333333333,225
58,48.7631578947368,653
59,56.9285714285714,489
60,27.6122448979592,378
61,3.75,61
62,30.7837837837838,242
63,59.0909090909091,605
64,21.258064516129,359
65,46.8,383
66,55.5714285714286,89
67,80.8823529411765,604
68,38,168
69,1,12
70,103.666666666667,52
71,14,116
72,51.6842105263158,268
73,38.4444444444444,174
74,14,6
75,43.6363636363636,267
76,116.714285714286,293
77,65.1428571428571,207
78,60.0963855421687,884
79,32.8,237
80,5.25,85
81,60.2,189
82,51.1428571428571,64
83,17.3333333333333,57
84,6.5,49
85,64.0952380952381,199
86,21.6666666666667,31
87,83.75,78
88,95.5180722891566,1593
89,10.6,57
90,84.6666666666667,74
91,58.6521739130435,324
92,10.5,89
93,2,11
94,20.5,145
95,16.7058823529412,188
96,17.75,285
97,4.92307692307692,92
98,11.9,96
99,33,99
100,12.9166666666667,140
101,16,84
102,4.75,69
103,0.5,25
104,79.625,390
105,69.8,73
106,76.84375,696
107,12.5,34
108,52.2857142857143,82
109,320,26
110,57.75,113
111,163.5,36
112,27.35,264
113,6,130
114,70.2,141
115,50.5384615384615,330
116,24.0909090909091,270
117,9.2,114
118,45.0588235294118,196
119,1.57142857142857,36
120,4.85714285714286,39
121,5.5,52
122,4.33333333333333,253
123,78.6666666666667,58
124,11.5,185
125,36.1,279
126,32.1666666666667,57
127,15,24
128,0,10
129,6.2,43
130,76.7777777777778,63
131,41,61
132,10,53
133,1.28571428571429,64
134,59.4736842105263,809
135,38.7529411764706,728
136,12.5,44
137,32.1428571428571,197
140,62.5833333333333,95
141,3,39
142,67.3333333333333,115
143,35.6,58
144,111,84
145,49,18
146,157,37
147,153,21
148,19,39
149,2,124
150,24.6666666666667,112
151,6.66666666666667,66
152,18.9090909090909,247
153,152.25,63
154,57.8518518518519,496
155,4,35
156,4,36
157,36.2222222222222,113
158,0,49
159,NA,12
160,5.66666666666667,82
161,7.5,77
162,48.4444444444444,250
163,4.22222222222222,73
164,0,31
165,2.5,165
166,32.3333333333333,84
167,14.1428571428571,207
168,99,155
169,6.8,111
170,10.1428571428571,306
171,6.33333333333333,39
172,214,27
173,105.142857142857,71
174,108.764705882353,405
175,0,36
176,4.07142857142857,100
177,11.8333333333333,76
178,102.1875,246
179,39.2941176470588,220
180,48.8,45
181,4.66666666666667,93
182,1.33333333333333,31
183,146,15
184,21.1666666666667,102
185,28.5714285714286,112
186,2,62
187,34.5,126
188,14,57
189,NA,29
190,NA,6
191,49,74
192,60,47
193,NA,8
194,NA,10
195,NA,14
196,15.4285714285714,118
197,20.3333333333333,74
198,45.2,136
199,NA,1
200,NA,9
201,19,34
202,119,51
203,2,85
204,22.375,110
205,11,59
206,24.3333333333333,137
207,71.5,40
208,69,293
209,8,88
210,78,41
211,58,27
212,18.3333333333333,60
213,26.8333333333333,118
214,13,109
215,13.6521739130435,159
216,105,101
217,NA,15
218,13,149
219,12,94
220,56.5,111
221,30.1666666666667,29
222,29.75,80
223,84,24
224,3,87
225,69.5555555555556,154
226,82.9333333333333,285
227,NA,11
228,4.33333333333333,34
229,81,54
230,NA,38
231,59.2,53
232,NA,6
233,42.9166666666667,105
234,36,112
235,35,11
236,208.5,16
237,217.25,40
238,9.66666666666667,102
239,36.75,49
240,5.25,44
241,2,19
242,269,14
243,NA,1
244,0,20
245,145.666666666667,51
246,12,14
248,370,16
249,173,41
250,0,15
251,94.6666666666667,5
252,106.166666666667,60
253,NA,6
255,NA,3
256,NA,2
257,NA,5
258,69.4,57
259,1,12
260,2.33333333333333,42
262,125.285714285714,48
263,10,84
264,NA,1
265,40,36
266,0,9
269,5,8
270,52.75,36
271,52.75,35
272,NA,2
273,10,17
274,100.666666666667,14
275,86.5,10
276,NA,1
